Heat: 750.0000 | Time: 2.8330 | MPISize: 1
         3002677 function calls (2769372 primitive calls) in 7.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2863(__init__)
      140    0.000    0.000    0.001    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
     1917    0.001    0.000    0.001    0.000 {method 'index' of 'tuple' objects}
        8    0.000    0.000    0.001    0.000 compiler_machinery.py:343(dependency_analysis)
       48    0.000    0.000    0.001    0.000 pyparsing.py:3540(__init__)
        1    0.000    0.000    0.001    0.001 c_ast.py:19(<module>)
        1    0.000    0.000    0.001    0.001 parfor.py:1821(_type_getitem)
      606    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
      546    0.000    0.000    0.001    0.000 common.py:4(_encode_string)
      907    0.000    0.000    0.001    0.000 array_analysis.py:251(<genexpr>)
        3    0.000    0.000    0.001    0.000 models.py:861(__init__)
      102    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 functions.py:1(<module>)
       77    0.000    0.000    0.001    0.000 models.py:530(get_argument_type)
      834    0.001    0.000    0.001    0.000 ffi.py:250(__init__)
        2    0.000    0.000    0.001    0.000 packer.py:115(assign_names)
    19/17    0.000    0.000    0.001    0.000 typing.py:248(inner)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
      227    0.000    0.000    0.001    0.000 core.py:110(int)
      246    0.001    0.000    0.001    0.000 controlflow.py:87(__init__)
      837    0.000    0.000    0.001    0.000 pkgutil.py:405(get_importer)
        8    0.000    0.000    0.001    0.000 _version.py:114(_compare)
       16    0.000    0.000    0.001    0.000 typeinfer.py:187(__call__)
       94    0.000    0.000    0.001    0.000 posixpath.py:338(normpath)
      591    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      186    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       32    0.000    0.000    0.001    0.000 base.py:464(insert_unique_const)
        7    0.000    0.000    0.001    0.000 base.py:1015(make_tuple)
     2518    0.001    0.000    0.001    0.000 ir_utils.py:277(get_name_var_visit)
    77/62    0.000    0.000    0.001    0.000 pyparsing.py:3434(__str__)
       35    0.000    0.000    0.001    0.000 posixpath.py:168(islink)
       84    0.000    0.000    0.001    0.000 ir.py:390(binop)
       30    0.000    0.000    0.001    0.000 getlimits.py:41(<lambda>)
     3307    0.001    0.000    0.001    0.000 ir_utils.py:1436(require)
        1    0.000    0.000    0.001    0.001 nrtdynmod.py:64(_define_nrt_decref)
        1    0.000    0.000    0.001    0.001 array_analysis.py:2056(_analyze_op_arrayexpr)
      785    0.000    0.000    0.001    0.000 ir.py:685(__init__)
       44    0.000    0.000    0.001    0.000 core.py:138(get_object_signature)
       24    0.000    0.000    0.001    0.000 ffi.py:9(_make_opaque_ref)
        6    0.000    0.000    0.001    0.000 npyimpl.py:68(__init__)
        2    0.000    0.000    0.001    0.000 utils.py:4(<module>)
       29    0.000    0.000    0.001    0.000 cgutils.py:44(make_bytearray)
       88    0.000    0.000    0.001    0.000 itanium_mangler.py:86(_escape_string)
        2    0.000    0.000    0.001    0.000 ir_utils.py:1890(raise_on_unsupported_feature)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:4183(streamline)
        1    0.000    0.000    0.001    0.001 compiler_machinery.py:1(<module>)
     20/4    0.000    0.000    0.001    0.000 serialize.py:299(save)
      395    0.000    0.000    0.001    0.000 typing.py:709(__setattr__)
      274    0.000    0.000    0.001    0.000 function_base.py:419(_needs_add_docstring)
      256    0.000    0.000    0.001    0.000 values.py:646(<genexpr>)
        2    0.000    0.000    0.001    0.000 bytecode.py:196(__init__)
      104    0.000    0.000    0.001    0.000 byteflow.py:1171(append)
      294    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
      699    0.001    0.000    0.001    0.000 context.py:487(insert_function)
       98    0.000    0.000    0.001    0.000 numpy_support.py:324(_ufunc_loop_sig)
       90    0.000    0.000    0.001    0.000 utils.py:98(erase_traceback)
     1651    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.001    0.000 cgutils.py:583(loop_nest)
      557    0.000    0.000    0.001    0.000 templates.py:34(__init__)
     2362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1264    0.000    0.000    0.001    0.000 ir.py:251(__hash__)
       90    0.000    0.000    0.001    0.000 module.py:7(__init__)
       44    0.000    0.000    0.001    0.000 utils.py:493(unified_function_type)
       20    0.000    0.000    0.001    0.000 array_analysis.py:574(get_shape)
      359    0.001    0.000    0.001    0.000 ir_utils.py:32(mk_unique_var)
      581    0.001    0.000    0.001    0.000 types.py:513(gep)
     1664    0.001    0.000    0.001    0.000 {method 'zfill' of 'str' objects}
        1    0.000    0.000    0.001    0.001 externals.py:3(<module>)
       24    0.000    0.000    0.001    0.000 cgutils.py:854(is_neg_int)
      188    0.001    0.000    0.001    0.000 warnings.py:470(__enter__)
      164    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        9    0.000    0.000    0.001    0.000 array_exprs.py:33(match)
        2    0.000    0.000    0.001    0.000 typed_passes.py:485(run_pass)
       12    0.000    0.000    0.001    0.000 interpreter.py:471(op_BUILD_SLICE)
        1    0.000    0.000    0.001    0.001 typeinfer.py:13(<module>)
       12    0.000    0.000    0.001    0.000 npydecl.py:129(<listcomp>)
     4298    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       38    0.000    0.000    0.001    0.000 compiler_machinery.py:392(make_festive)
      120    0.000    0.000    0.001    0.000 pyparsing.py:2368(__init__)
        1    0.000    0.000    0.001    0.001 histograms.py:3(<module>)
       42    0.000    0.000    0.001    0.000 base.py:87(_sort_signatures)
       43    0.000    0.000    0.001    0.000 contextlib.py:210(contextmanager)
      156    0.000    0.000    0.001    0.000 extending.py:191(overload_method)
      571    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
        2    0.000    0.000    0.001    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 flinalg.py:5(<module>)
      710    0.000    0.000    0.001    0.000 builder.py:191(function)
     20/4    0.000    0.000    0.001    0.000 pickle.py:485(save)
       86    0.000    0.000    0.001    0.000 ir_utils.py:744(<genexpr>)
       16    0.000    0.000    0.001    0.000 templates.py:890(resolve)
       35    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
      218    0.000    0.000    0.001    0.000 _utils.py:76(<listcomp>)
       75    0.000    0.000    0.001    0.000 targets.py:150(get_pointee_abi_size)
  167/136    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
        4    0.000    0.000    0.001    0.000 cgutils.py:611(_loop_nest)
       26    0.000    0.000    0.001    0.000 core.py:6750(__init__)
       18    0.000    0.000    0.001    0.000 typeinfer.py:208(__call__)
       77    0.000    0.000    0.001    0.000 ir.py:420(call)
        1    0.000    0.000    0.001    0.001 byteflow.py:3(<module>)
       77    0.000    0.000    0.001    0.000 models.py:531(<listcomp>)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        2    0.000    0.000    0.001    0.000 untyped_passes.py:140(run_pass)
       35    0.000    0.000    0.001    0.000 interpreter.py:730(op_LOAD_CONST)
        5    0.000    0.000    0.001    0.000 codegen.py:529(scan_unresolved_symbols)
        1    0.000    0.000    0.001    0.001 _ccallback.py:1(<module>)
       14    0.000    0.000    0.001    0.000 npydecl.py:382(_numpy_redirect)
      413    0.000    0.000    0.001    0.000 ir.py:837(__init__)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        2    0.000    0.000    0.001    0.000 builtins.py:298(number_constructor)
       23    0.000    0.000    0.001    0.000 controlflow.py:503(_find_dominators_internal)
       91    0.000    0.000    0.001    0.000 templates.py:94(__repr__)
        6    0.000    0.000    0.001    0.000 templates.py:906(_resolve)
    106/9    0.000    0.000    0.001    0.000 packer.py:123(_assign_names)
      983    0.000    0.000    0.001    0.000 controlflow.py:94(add_node)
       20    0.000    0.000    0.001    0.000 core.py:146(bitcast)
        1    0.000    0.000    0.001    0.001 npytypes.py:1(<module>)
      662    0.000    0.000    0.001    0.000 array_analysis.py:418(<genexpr>)
       26    0.000    0.000    0.001    0.000 cgutils.py:910(global_constant)
      735    0.000    0.000    0.001    0.000 types.py:137(gep)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.001    0.001 eh.py:3(<module>)
        7    0.000    0.000    0.001    0.000 utils.py:74(__call__)
      165    0.000    0.000    0.001    0.000 ffi.py:183(__init__)
      8/4    0.000    0.000    0.001    0.000 pickle.py:761(save_tuple)
        4    0.000    0.000    0.001    0.000 untyped_passes.py:162(run_pass)
        1    0.000    0.000    0.001    0.001 setobj.py:3(<module>)
        1    0.000    0.000    0.001    0.001 parfor_lowering.py:741(hoist)
        1    0.000    0.000    0.001    0.001 imputils.py:3(<module>)
       76    0.000    0.000    0.001    0.000 typeof.py:58(_typeof_buffer)
      176    0.001    0.000    0.001    0.000 _utils.py:9(__init__)
     1769    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 parallel.py:11(<module>)
     2168    0.001    0.000    0.001    0.000 version.py:490(<lambda>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      143    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      119    0.000    0.000    0.001    0.000 typeconv.py:63(set_unsafe_convert)
        2    0.000    0.000    0.001    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.001    0.001 ir_utils.py:60(mk_alloc)
        3    0.000    0.000    0.001    0.000 rangeobj.py:218(make_range_attr)
      788    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
      996    0.000    0.000    0.000    0.000 ir.py:384(__setattr__)
       75    0.000    0.000    0.000    0.000 value.py:198(type)
      734    0.000    0.000    0.000    0.000 types.py:205(__new__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
        7    0.000    0.000    0.000    0.000 models.py:503(__init__)
      515    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_analysis.py:6(<module>)
        7    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 yacc.py:62(<module>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
      585    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       26    0.000    0.000    0.000    0.000 builder.py:837(ret)
      206    0.000    0.000    0.000    0.000 module.py:138(add_global)
     1023    0.000    0.000    0.000    0.000 array_analysis.py:234(_get_or_add_ind)
      130    0.000    0.000    0.000    0.000 array_analysis.py:799(get_rel)
        5    0.000    0.000    0.000    0.000 arraydecl.py:171(generic)
       10    0.000    0.000    0.000    0.000 codegen.py:707(_pass_manager_builder)
        2    0.000    0.000    0.000    0.000 npyimpl.py:344(<listcomp>)
      893    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
       23    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
        4    0.000    0.000    0.000    0.000 controlflow.py:225(_post_doms)
     1284    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
       18    0.000    0.000    0.000    0.000 inline_closurecall.py:1325(inline_array)
        4    0.000    0.000    0.000    0.000 pythonapi.py:1160(make_none)
       32    0.000    0.000    0.000    0.000 ffi.py:208(__str__)
       44    0.000    0.000    0.000    0.000 templates.py:1070(wrapper)
        2    0.000    0.000    0.000    0.000 parfor.py:3060(_gen_np_divide)
       18    0.000    0.000    0.000    0.000 parfor.py:1394(replace_func)
        4    0.000    0.000    0.000    0.000 controlflow.py:549(_find_post_dominators)
       26    0.000    0.000    0.000    0.000 module.py:79(get_function)
        2    0.000    0.000    0.000    0.000 base.py:689(pair_first)
        5    0.000    0.000    0.000    0.000 pythonapi.py:324(err_set_none)
      842    0.000    0.000    0.000    0.000 inspect.py:2799(<genexpr>)
        2    0.000    0.000    0.000    0.000 base.py:696(pair_second)
       24    0.000    0.000    0.000    0.000 array_analysis.py:2061(_analyze_op_build_tuple)
      789    0.000    0.000    0.000    0.000 ir_utils.py:638(<setcomp>)
        2    0.000    0.000    0.000    0.000 parfor.py:1546(run)
        1    0.000    0.000    0.000    0.000 array_exprs.py:188(apply)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
      151    0.000    0.000    0.000    0.000 models.py:485(<listcomp>)
      126    0.000    0.000    0.000    0.000 byteflow.py:1153(make_temp)
        9    0.000    0.000    0.000    0.000 __init__.py:47(create_string_buffer)
        2    0.000    0.000    0.000    0.000 pythonapi.py:263(unpack_tuple)
       56    0.000    0.000    0.000    0.000 ir_utils.py:1556(find_build_sequence)
       85    0.000    0.000    0.000    0.000 passmanagers.py:115(finalize)
      178    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      192    0.000    0.000    0.000    0.000 numpy_support.py:386(<listcomp>)
      591    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:1905(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 targets.py:1(<module>)
       90    0.000    0.000    0.000    0.000 module.py:215(_get_metadata_lines)
       10    0.000    0.000    0.000    0.000 passes.py:33(create_pass_manager_builder)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
     1228    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 codegen.py:849(_customize_tm_features)
        1    0.000    0.000    0.000    0.000 codegen.py:779(_get_host_cpu_features)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:43(_define_nrt_incref)
        1    0.000    0.000    0.000    0.000 wrappers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codegen.py:879(get_host_cpu_features)
        2    0.000    0.000    0.000    0.000 transforms.py:476(_legalize_withs_cfg)
        2    0.000    0.000    0.000    0.000 analysis.py:509(rewrite_semantic_constants)
        4    0.000    0.000    0.000    0.000 pythonapi.py:866(gil_release)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       34    0.000    0.000    0.000    0.000 cgutils.py:1100(normalize_ir_text)
        4    0.000    0.000    0.000    0.000 core.py:115(doc_note)
      100    0.000    0.000    0.000    0.000 ir.py:1135(redefine)
        2    0.000    0.000    0.000    0.000 pythonapi.py:1301(return_none)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
        1    0.000    0.000    0.000    0.000 hashlib.py:54(<module>)
        3    0.000    0.000    0.000    0.000 rangeobj.py:27(make_range_impl)
       44    0.000    0.000    0.000    0.000 functions.py:494(__init__)
       85    0.000    0.000    0.000    0.000 values.py:762(__str__)
        2    0.000    0.000    0.000    0.000 typed_passes.py:753(_strip_phi_nodes)
       80    0.000    0.000    0.000    0.000 instructions.py:381(descr)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 compiler.py:521(define_untyped_pipeline)
       10    0.000    0.000    0.000    0.000 __init__.py:1889(get_metadata)
        8    0.000    0.000    0.000    0.000 packer.py:132(argument_types)
      188    0.000    0.000    0.000    0.000 warnings.py:489(__exit__)
        7    0.000    0.000    0.000    0.000 abstract.py:174(__call__)
     2370    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        7    0.000    0.000    0.000    0.000 models.py:509(<listcomp>)
      515    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        4    0.000    0.000    0.000    0.000 analysis.py:291(dead_branch_prune)
       31    0.000    0.000    0.000    0.000 cgutils.py:208(_getvalue)
        2    0.000    0.000    0.000    0.000 targets.py:80(get_host_cpu_name)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
       14    0.000    0.000    0.000    0.000 cgutils.py:420(is_not_null)
       90    0.000    0.000    0.000    0.000 context.py:394(_get_global_type)
        2    0.000    0.000    0.000    0.000 typeconv.py:93(safe)
        4    0.000    0.000    0.000    0.000 builtins.py:793(resolve___call__)
       32    0.000    0.000    0.000    0.000 instructions.py:187(__init__)
        4    0.000    0.000    0.000    0.000 re.py:207(split)
       12    0.000    0.000    0.000    0.000 numbers.py:36(int_add_impl)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
        4    0.000    0.000    0.000    0.000 extending.py:179(decorate)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        2    0.000    0.000    0.000    0.000 ssa.py:147(_run_block_analysis)
     2691    0.000    0.000    0.000    0.000 postproc.py:186(<genexpr>)
      182    0.000    0.000    0.000    0.000 functions.py:64(__init__)
       69    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       63    0.000    0.000    0.000    0.000 ir_utils.py:320(replace_vars_stmt)
     1604    0.000    0.000    0.000    0.000 version.py:461(_parse_local_version)
        1    0.000    0.000    0.000    0.000 parfor.py:3879(fuse_parfors_inner)
       25    0.000    0.000    0.000    0.000 pythonapi.py:375(get_c_object)
        2    0.000    0.000    0.000    0.000 ir_utils.py:1267(canonicalize_array_math)
     1339    0.000    0.000    0.000    0.000 abstract.py:115(__repr__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
        8    0.000    0.000    0.000    0.000 lowering.py:277(pre_block)
      128    0.000    0.000    0.000    0.000 ir.py:1097(define)
        2    0.000    0.000    0.000    0.000 byteflow.py:1359(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
       20    0.000    0.000    0.000    0.000 builtins.py:147(choose_result_int)
       12    0.000    0.000    0.000    0.000 interpreter.py:227(_end_current_block)
      773    0.000    0.000    0.000    0.000 types.py:347(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
       22    0.000    0.000    0.000    0.000 typeof.py:82(typeof_type)
       19    0.000    0.000    0.000    0.000 controlflow.py:149(dominators)
      172    0.000    0.000    0.000    0.000 misc.py:105(__init__)
        1    0.000    0.000    0.000    0.000 builder.py:176(IRBuilder)
        4    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       73    0.000    0.000    0.000    0.000 array_analysis.py:277(is_equiv)
        5    0.000    0.000    0.000    0.000 pythonapi.py:306(raise_object)
        1    0.000    0.000    0.000    0.000 passmanagers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        5    0.000    0.000    0.000    0.000 pythonapi.py:283(err_clear)
      614    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     2220    0.000    0.000    0.000    0.000 templates.py:46(args)
        1    0.000    0.000    0.000    0.000 itanium_mangler.py:29(<module>)
        4    0.000    0.000    0.000    0.000 pythonapi.py:229(incref)
        2    0.000    0.000    0.000    0.000 lowering.py:23(__init__)
     2662    0.000    0.000    0.000    0.000 types.py:70(wrap_constant_value)
      250    0.000    0.000    0.000    0.000 parfor.py:1906(_is_C_order)
       50    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       81    0.000    0.000    0.000    0.000 core.py:85(function)
       54    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
        2    0.000    0.000    0.000    0.000 sigutils.py:17(normalize_signature)
      215    0.000    0.000    0.000    0.000 common.py:9(_decode_string)
        2    0.000    0.000    0.000    0.000 untyped_passes.py:285(run_pass)
     1502    0.000    0.000    0.000    0.000 ir.py:1259(terminator)
        5    0.000    0.000    0.000    0.000 parfor.py:3085(_gen_arrayexpr_getitem)
       17    0.000    0.000    0.000    0.000 controlflow.py:296(topo_order)
      268    0.000    0.000    0.000    0.000 instructions.py:26(module)
      454    0.000    0.000    0.000    0.000 array_analysis.py:617(<genexpr>)
      809    0.000    0.000    0.000    0.000 models.py:518(get_value_type)
      354    0.000    0.000    0.000    0.000 builder.py:160(_label_suffix)
      112    0.000    0.000    0.000    0.000 module.py:233(_next)
      678    0.000    0.000    0.000    0.000 functions.py:296(<dictcomp>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
      195    0.000    0.000    0.000    0.000 ir.py:574(<genexpr>)
      152    0.000    0.000    0.000    0.000 values.py:739(add_attribute)
        6    0.000    0.000    0.000    0.000 callconv.py:398(_get_try_state)
        9    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
      110    0.000    0.000    0.000    0.000 module.py:52(__init__)
        2    0.000    0.000    0.000    0.000 nrtdynmod.py:108(_define_atomic_inc_dec)
     1671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       19    0.000    0.000    0.000    0.000 controlflow.py:201(_doms)
      128    0.000    0.000    0.000    0.000 interpreter.py:412(get)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        4    0.000    0.000    0.000    0.000 npdatetime.py:110(make_constant_array)
      134    0.000    0.000    0.000    0.000 abstract.py:39(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
       25    0.000    0.000    0.000    0.000 base.py:757(get_c_value)
      306    0.000    0.000    0.000    0.000 packer.py:137(<genexpr>)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      821    0.000    0.000    0.000    0.000 types.py:354(__getitem__)
       26    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
     2736    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 byteflow.py:73(__init__)
        1    0.000    0.000    0.000    0.000 sigutils.py:12(_parse_signature_string)
      268    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       94    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 boxing.py:3(<module>)
      158    0.000    0.000    0.000    0.000 builder.py:198(module)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       19    0.000    0.000    0.000    0.000 controlflow.py:546(_find_dominators)
      113    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      165    0.000    0.000    0.000    0.000 ssa.py:177(_run_ssa_block_pass)
      137    0.000    0.000    0.000    0.000 array_analysis.py:2803(<lambda>)
        5    0.000    0.000    0.000    0.000 dispatcher.py:128(__init__)
      627    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.check_compatible}
       53    0.000    0.000    0.000    0.000 ir.py:488(getattr)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 targets.py:46(get_host_cpu_features)
       23    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
        1    0.000    0.000    0.000    0.000 controlflow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 untyped_passes.py:59(run_pass)
      110    0.000    0.000    0.000    0.000 bytecode.py:174(next)
       88    0.000    0.000    0.000    0.000 __init__.py:550(__init__)
     1588    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       94    0.000    0.000    0.000    0.000 npydecl.py:50(<listcomp>)
      299    0.000    0.000    0.000    0.000 numpy_support.py:85(from_dtype)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      165    0.000    0.000    0.000    0.000 ffi.py:201(__del__)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      102    0.000    0.000    0.000    0.000 registry.py:9(wraps)
        2    0.000    0.000    0.000    0.000 transforms.py:1(<module>)
       90    0.000    0.000    0.000    0.000 traceback.py:216(clear_frames)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       35    0.000    0.000    0.000    0.000 values.py:21(_escape_string)
       85    0.000    0.000    0.000    0.000 values.py:577(__repr__)
      143    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:835(__or__)
       62    0.000    0.000    0.000    0.000 functions.py:273(get_impl_key)
      668    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       85    0.000    0.000    0.000    0.000 passmanagers.py:108(initialize)
        4    0.000    0.000    0.000    0.000 __init__.py:1324(safe_extra)
        4    0.000    0.000    0.000    0.000 packer.py:190(unflatten)
       16    0.000    0.000    0.000    0.000 __init__.py:1962(find_distributions)
       96    0.000    0.000    0.000    0.000 typeinfer.py:503(<listcomp>)
       12    0.000    0.000    0.000    0.000 byteflow.py:528(op_BUILD_SLICE)
       44    0.000    0.000    0.000    0.000 extending.py:525(is_jitted)
       14    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 tupleobj.py:3(<module>)
       16    0.000    0.000    0.000    0.000 arrayobj.py:141(fix_integer_index)
        2    0.000    0.000    0.000    0.000 cpu.py:95(get_env_body)
        6    0.000    0.000    0.000    0.000 base.py:590(get_getattr)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
        9    0.000    0.000    0.000    0.000 arrayobj.py:124(load_item)
      808    0.000    0.000    0.000    0.000 version.py:334(epoch)
       42    0.000    0.000    0.000    0.000 context.py:133(__init__)
       28    0.000    0.000    0.000    0.000 module.py:182(functions)
       60    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.000    0.000 __init__.py:144(_try_enable_svml)
       42    0.000    0.000    0.000    0.000 containers.py:128(is_homogeneous)
      252    0.000    0.000    0.000    0.000 npydecl.py:189(<genexpr>)
        1    0.000    0.000    0.000    0.000 castgraph.py:1(<module>)
       97    0.000    0.000    0.000    0.000 ufunc_db.py:18(_lazy_init_db)
       64    0.000    0.000    0.000    0.000 api.py:952(_builtin_function_type)
        3    0.000    0.000    0.000    0.000 pythonapi.py:885(restore_thread)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
        3    0.000    0.000    0.000    0.000 parfor.py:3381(get_parfor_reductions)
     1207    0.000    0.000    0.000    0.000 functions.py:248(<genexpr>)
        1    0.000    0.000    0.000    0.000 quicksort.py:1(<module>)
      808    0.000    0.000    0.000    0.000 version.py:340(release)
        4    0.000    0.000    0.000    0.000 tupleobj.py:348(static_getitem_tuple)
       17    0.000    0.000    0.000    0.000 controlflow.py:209(_topo_order)
       49    0.000    0.000    0.000    0.000 parfor.py:3776(<setcomp>)
       28    0.000    0.000    0.000    0.000 typeinfer.py:1094(lock_type)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 bytecode.py:243(dump)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
       17    0.000    0.000    0.000    0.000 inspect.py:3010(bind)
       12    0.000    0.000    0.000    0.000 cgutils.py:754(<listcomp>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
       46    0.000    0.000    0.000    0.000 weakref.py:530(__init__)
     1005    0.000    0.000    0.000    0.000 misc.py:326(key)
        1    0.000    0.000    0.000    0.000 ir.py:25(Loc)
      100    0.000    0.000    0.000    0.000 context.py:13(__init__)
        1    0.000    0.000    0.000    0.000 dylib.py:23(load_library_permanently)
       28    0.000    0.000    0.000    0.000 array_analysis.py:1144(_combine_to_new_block)
        7    0.000    0.000    0.000    0.000 extending.py:226(make_attribute_wrapper)
        2    0.000    0.000    0.000    0.000 byteflow.py:161(_prune_phis)
      471    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
