Heat: 750.0000 | Time: 2.8330 | MPISize: 1
         3002677 function calls (2769372 primitive calls) in 7.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.210    0.210 nrtdynmod.py:202(compile_nrt_functions)
        1    0.000    0.000    0.208    0.208 stencil.py:6(<module>)
 7934/714    0.022    0.000    0.204    0.000 copy.py:269(_reconstruct)
    52/44    0.000    0.000    0.189    0.004 <frozen importlib._bootstrap_external>:1048(exec_module)
    52/44    0.175    0.003    0.189    0.004 {built-in method _imp.exec_dynamic}
        5    0.000    0.000    0.180    0.036 codegen.py:141(_optimize_final_module)
        1    0.000    0.000    0.178    0.178 __init__.py:106(<module>)
       65    0.001    0.000    0.178    0.003 base.py:266(refresh)
        5    0.000    0.000    0.172    0.034 passmanagers.py:93(run)
      157    0.001    0.000    0.171    0.001 lowering.py:492(lower_assign)
     1671    0.024    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.157    0.157 parfor_lowering.py:1391(call_parallel_gufunc)
       90    0.001    0.000    0.157    0.002 lowering.py:1001(lower_expr)
        3    0.000    0.000    0.156    0.052 registry.py:1(<module>)
        9    0.000    0.000    0.151    0.017 codegen.py:211(add_llvm_module)
        1    0.000    0.000    0.150    0.150 dispatcher.py:4(<module>)
       14    0.000    0.000    0.143    0.010 array_analysis.py:2022(_analyze_op_static_getitem)
        1    0.000    0.000    0.138    0.138 compiler.py:1(<module>)
  591/580    0.002    0.000    0.137    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       90    0.000    0.000    0.130    0.001 module.py:233(__repr__)
41984/22214    0.040    0.000    0.129    0.000 {method 'format' of 'str' objects}
       90    0.000    0.000    0.129    0.001 module.py:207(_get_body_lines)
       90    0.000    0.000    0.128    0.001 module.py:212(<listcomp>)
        9    0.000    0.000    0.128    0.014 codegen.py:127(_optimize_functions)
       85    0.000    0.000    0.125    0.001 values.py:668(__str__)
       85    0.000    0.000    0.125    0.001 values.py:661(descr)
      606    0.005    0.000    0.124    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       85    0.000    0.000    0.121    0.001 passmanagers.py:122(run)
2905/2378    0.007    0.000    0.119    0.000 {built-in method builtins.sorted}
       15    0.000    0.000    0.118    0.008 values.py:654(descr_body)
      404    0.001    0.000    0.118    0.000 values.py:797(descr)
        9    0.000    0.000    0.116    0.013 ir_utils.py:1412(simplify)
      404    0.002    0.000    0.116    0.000 values.py:799(<listcomp>)
        1    0.000    0.000    0.116    0.116 __init__.py:554(_build_master)
        1    0.000    0.000    0.116    0.116 __init__.py:541(__init__)
       12    0.000    0.000    0.115    0.010 __init__.py:2006(_by_version_descending)
      585    0.001    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
22871/9391    0.018    0.000    0.114    0.000 _utils.py:44(__str__)
      586    0.003    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    10965    0.113    0.000    0.113    0.000 {built-in method posix.stat}
2464/2458    0.031    0.000    0.109    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.106    0.053 __init__.py:7(<module>)
        1    0.000    0.000    0.106    0.106 codegen.py:637(__init__)
       72    0.000    0.000    0.102    0.001 base.py:1163(__call__)
       72    0.000    0.000    0.102    0.001 base.py:1192(wrapper)
   521682    0.080    0.000    0.101    0.000 {built-in method builtins.isinstance}
     7763    0.004    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     6312    0.014    0.000    0.098    0.000 values.py:219(_to_string)
64548/10416    0.065    0.000    0.096    0.000 ir.py:313(_rec_list_vars)
       15    0.000    0.000    0.095    0.006 lowering.py:632(lower_getitem)
        7    0.000    0.000    0.089    0.013 codegen.py:191(add_linking_library)
       67    0.000    0.000    0.088    0.001 context.py:151(refresh)
       52    0.000    0.000    0.088    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
       52    0.085    0.002    0.088    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.085    0.085 parallel.py:250(build_gufunc_wrapper)
     8214    0.003    0.000    0.084    0.000 ir.py:346(list_vars)
        2    0.000    0.000    0.084    0.042 builtins.py:1(<module>)
     1182    0.003    0.000    0.084    0.000 re.py:273(_compile)
      399    0.001    0.000    0.083    0.000 __init__.py:3269(<genexpr>)
      398    0.001    0.000    0.082    0.000 __init__.py:2774(activate)
        2    0.000    0.000    0.080    0.040 parfor.py:2698(_pre_run)
      137    0.000    0.000    0.079    0.001 re.py:234(compile)
     1596    0.005    0.000    0.079    0.000 __init__.py:2118(distributions_from_metadata)
      143    0.001    0.000    0.078    0.001 sre_compile.py:759(compile)
    75/64    0.012    0.000    0.077    0.001 analysis.py:23(compute_use_defs)
      8/4    0.001    0.000    0.077    0.019 parfor.py:2849(fuse_parfors)
      515    0.002    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       46    0.000    0.000    0.077    0.002 array_analysis.py:2016(_analyze_op_getitem)
      151    0.000    0.000    0.076    0.001 copy.py:220(_deepcopy_tuple)
      151    0.000    0.000    0.075    0.000 copy.py:221(<listcomp>)
      798    0.002    0.000    0.074    0.000 __init__.py:2021(_by_version)
        1    0.000    0.000    0.074    0.074 codegen.py:647(_init)
        4    0.000    0.000    0.074    0.019 parfor.py:2884(fuse_recursive_parfor)
        5    0.000    0.000    0.074    0.015 context.py:1(<module>)
      515    0.074    0.000    0.074    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.074    0.025 base.py:1(<module>)
       11    0.000    0.000    0.073    0.007 arrayobj.py:444(getitem_array_tuple)
        2    0.000    0.000    0.073    0.036 typed_passes.py:85(run_pass)
        2    0.000    0.000    0.073    0.036 typed_passes.py:50(type_inference_stage)
     15/9    0.000    0.000    0.072    0.008 ir_utils.py:526(remove_dead)
        1    0.001    0.001    0.072    0.072 arraymath.py:3(<module>)
        1    0.000    0.000    0.072    0.072 callconv.py:3(<module>)
        1    0.000    0.000    0.071    0.071 special.py:1(<module>)
      182    0.006    0.000    0.070    0.000 functions.py:280(get_call_type)
       67    0.001    0.000    0.070    0.001 context.py:686(load_additional_registries)
      798    0.002    0.000    0.069    0.000 __init__.py:2027(<listcomp>)
       10    0.000    0.000    0.069    0.007 transforms.py:93(populate)
       15    0.000    0.000    0.068    0.005 arrayobj.py:406(_getitem_array_generic)
     3194    0.005    0.000    0.067    0.000 version.py:48(parse)
        1    0.000    0.000    0.067    0.067 codegen.py:693(_module_pass_manager)
        1    0.000    0.000    0.066    0.066 transforms.py:87(_populate_module_pm)
       26    0.001    0.000    0.066    0.003 postproc.py:68(run)
        2    0.000    0.000    0.065    0.033 typeinfer.py:1052(propagate)
        4    0.001    0.000    0.065    0.016 typeinfer.py:141(propagate)
       16    0.000    0.000    0.059    0.004 arrayobj.py:328(basic_indexing)
      821    0.002    0.000    0.058    0.000 __init__.py:2185(_handle_ns)
      398    0.001    0.000    0.056    0.000 __init__.py:2288(fixup_namespace_packages)
     6197    0.017    0.000    0.056    0.000 instructions.py:13(__init__)
      100    0.001    0.000    0.055    0.001 module.py:11(parse_assembly)
        1    0.000    0.000    0.055    0.055 arraymath.py:31(_check_blas)
        1    0.000    0.000    0.055    0.055 linalg.py:53(ensure_blas)
        1    0.000    0.000    0.055    0.055 __init__.py:189(<module>)
        1    0.000    0.000    0.054    0.054 parallel.py:50(build_gufunc_kernel)
        2    0.000    0.000    0.053    0.027 lowering.py:233(create_cpython_wrapper)
        2    0.000    0.000    0.053    0.027 cpu.py:153(create_cpython_wrapper)
       65    0.001    0.000    0.052    0.001 cpu.py:64(load_additional_registries)
      157    0.001    0.000    0.050    0.000 lowering.py:1262(storevar)
  163/147    0.000    0.000    0.049    0.000 context.py:187(resolve_function_type)
     5577    0.004    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      798    0.005    0.000    0.048    0.000 __init__.py:2576(from_location)
  163/147    0.001    0.000    0.048    0.000 context.py:231(_resolve_user_function_type)
       96    0.001    0.000    0.047    0.000 typeinfer.py:568(resolve)
        1    0.000    0.000    0.047    0.047 cffi_utils.py:5(<module>)
     6533    0.003    0.000    0.047    0.000 ir.py:577(list_vars)
     4719    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      143    0.001    0.000    0.046    0.000 sre_parse.py:913(parse)
      433    0.002    0.000    0.046    0.000 context.py:197(_call_incref_decref)
        5    0.045    0.009    0.045    0.009 {built-in method numpy.zeros}
  471/143    0.002    0.000    0.045    0.000 sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.044    0.044 ir_utils.py:6(<module>)
        1    0.000    0.000    0.044    0.044 requirements.py:4(<module>)
  684/153    0.015    0.000    0.044    0.000 sre_parse.py:469(_parse)
        1    0.000    0.000    0.044    0.044 __init__.py:13(<module>)
        1    0.000    0.000    0.043    0.043 api.py:41(__init__)
       60    0.000    0.000    0.042    0.001 typeinfer.py:684(__call__)
     7483    0.009    0.000    0.042    0.000 values.py:212(__init__)
       96    0.000    0.000    0.042    0.000 typeinfer.py:1498(resolve_call)
     2398    0.003    0.000    0.042    0.000 version.py:107(__init__)
9723/8825    0.004    0.000    0.042    0.000 {built-in method builtins.next}
   231829    0.030    0.000    0.041    0.000 {method 'get' of 'dict' objects}
     4004    0.018    0.000    0.041    0.000 version.py:271(__init__)
      316    0.002    0.000    0.041    0.000 overrides.py:166(decorator)
 1386/433    0.005    0.000    0.040    0.000 context.py:180(get_meminfos)
     1682    0.002    0.000    0.039    0.000 abc.py:125(__new__)
     2398    0.014    0.000    0.039    0.000 version.py:205(_legacy_cmpkey)
      606    0.003    0.000    0.038    0.000 extending.py:118(decorate)
2291/2282    0.006    0.000    0.037    0.000 abstract.py:60(__call__)
      798    0.002    0.000    0.036    0.000 __init__.py:2563(__init__)
     1225    0.002    0.000    0.036    0.000 templates.py:343(apply)
      332    0.000    0.000    0.035    0.000 context.py:220(decref)
        8    0.000    0.000    0.035    0.004 parfor.py:3706(maximize_fusion)
       65    0.000    0.000    0.035    0.001 entrypoints.py:10(init_all)
        1    0.001    0.001    0.035    0.035 __init__.py:639(<genexpr>)
       12    0.000    0.000    0.035    0.003 slicing.py:25(fix_slice)
     1220    0.002    0.000    0.034    0.000 __init__.py:2763(_get_metadata)
        2    0.000    0.000    0.034    0.017 __init__.py:10(<module>)
    57/39    0.005    0.000    0.034    0.001 ir_utils.py:567(remove_dead_block)
       96    0.001    0.000    0.034    0.000 cgutils.py:99(__init__)
      398    0.002    0.000    0.034    0.000 __init__.py:2848(get_entry_map)
       26    0.000    0.000    0.033    0.001 postproc.py:41(usedefs)
    13501    0.033    0.000    0.033    0.000 {built-in method __new__ of type object at 0x55f2d9e70d40}
       48    0.001    0.000    0.032    0.001 slicing.py:34(fix_bound)
     7576    0.007    0.000    0.032    0.000 values.py:232(_set_name)
        1    0.000    0.000    0.032    0.032 _internal.py:6(<module>)
      398    0.001    0.000    0.032    0.000 __init__.py:2526(parse_map)
        2    0.000    0.000    0.032    0.016 callwrapper.py:101(build)
        1    0.000    0.000    0.031    0.031 wrappers.py:495(build_gufunc_wrapper)
        1    0.000    0.000    0.031    0.031 wrappers.py:451(build)
        1    0.000    0.000    0.031    0.031 wrappers.py:427(_compile_wrapper)
        2    0.000    0.000    0.031    0.016 callwrapper.py:126(build_wrapper)
        1    0.000    0.000    0.031    0.031 wrappers.py:343(_build_wrapper)
        1    0.000    0.000    0.031    0.031 charseq.py:1(<module>)
      455    0.002    0.000    0.031    0.000 base.py:361(install_registry)
        1    0.000    0.000    0.030    0.030 rules.py:1(<module>)
      143    0.000    0.000    0.030    0.000 sre_compile.py:598(_code)
      810    0.003    0.000    0.030    0.000 __init__.py:1312(safe_version)
      664    0.002    0.000    0.030    0.000 cgutils.py:858(gep_inbounds)
        1    0.000    0.000    0.030    0.030 cpu.py:1(<module>)
16317/16305    0.014    0.000    0.029    0.000 _utils.py:54(get_reference)
        3    0.000    0.000    0.029    0.010 __init__.py:51(create_module)
        3    0.000    0.000    0.029    0.010 __init__.py:29(load_module)
      314    0.001    0.000    0.029    0.000 lowering.py:1238(_alloca_var)
        1    0.000    0.000    0.029    0.029 cparser.py:1(<module>)
      665    0.003    0.000    0.028    0.000 cgutils.py:865(gep)
        1    0.000    0.000    0.028    0.028 parfor_lowering.py:1(<module>)
25673/22693    0.015    0.000    0.028    0.000 abstract.py:118(__hash__)
       14    0.000    0.000    0.028    0.002 nrtopt.py:159(remove_redundant_nrt_refct)
1710/1261    0.002    0.000    0.028    0.000 contextlib.py:107(__enter__)
        1    0.000    0.000    0.028    0.028 multiarray.py:7(<module>)
    13478    0.011    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      314    0.001    0.000    0.028    0.000 lowering.py:1325(decref)
  200/135    0.001    0.000    0.027    0.000 base.py:539(get_function)
      580    0.001    0.000    0.027    0.000 cgutils.py:142(_get_ptr_by_index)
      157    0.001    0.000    0.027    0.000 lowering.py:1305(alloca_lltype)
        1    0.000    0.000    0.027    0.027 extending.py:1(<module>)
        1    0.000    0.000    0.026    0.026 pyparsing.py:75(<module>)
      286    0.002    0.000    0.026    0.000 cgutils.py:362(alloca_once)
        2    0.000    0.000    0.025    0.013 misc.py:1(<module>)
        1    0.000    0.000    0.025    0.025 overrides.py:1(<module>)
     7576    0.005    0.000    0.025    0.000 _utils.py:16(register)
       58    0.000    0.000    0.025    0.000 arrayobj.py:70(_make_refs)
      318    0.025    0.000    0.025    0.000 {built-in method builtins.compile}
      455    0.002    0.000    0.025    0.000 base.py:377(insert_func_defn)
        1    0.000    0.000    0.024    0.024 rules.py:15(_init_casting_rules)
       40    0.000    0.000    0.024    0.001 castgraph.py:119(insert_rule)
